"????","????","??","??"
"??????","Basophil","baso","phil"
"???","Binuclear","bi","nuclear"
"????","Biochemistry","bio","chemistry"
"?????","Bradycardia","brady","cardia"
"??","Concentration","con","centration"
"??","Contraception","contra","ception"
"????","Dimorphic","di","morphic"
"??","Dialysis","dia","lysis"
"???","Diplococcus","dipl","ococcus"
"??","Disease","dis","ease"
"????","Dysfunction","dys","function"
"?????","Ectoparasite","ecto","parasite"
"?????","Endoparasite","endo","parasite"
"???","Enterotoxin","entero","toxin"
"???","Glycosuria","glyco","suria"
"????","Hyperglycemia","hyper","glycemia"
"???????","Hypothyroidism","hypo","thyroidism"
"??","Interphase","inter","phase"
"???","Intradermal","intra","dermal"
"???","Isotonic","iso","tonic"
"??","Kilogram","kilo","gram"
"????","Macrophage","macro","phage"
"????","Malfunction","mal","function"
"????","Megaloblast","mega","loblast"
"????","Melanoma","melan","oma"
"??","Metastasis","meta","stasis"
"???","Microscope","micro","scope"
"??","Microliter","micro","liter"
"??","Millimeter","milli","meter"
"???","Monocyte","mono","cyte"
"???","Morphology","morph","ology"
"??????","Neoplasm","neo","plasm"
"????","Neutrophil","neutro","phil"
"???","Oliguria","olig","uria"
"?????????????","Orthochromia","orth","ochromia"
"????","Pandemic","pan","demic"
"????","Paramedic","para","medic"
"????","Peripheral blood","peri","pheral blood"
"????","Phagocyte","phago","cyte"
"???","Polyuria","poly","uria"
"???","Postoperative","post","operative"
"???","Prenatal","pre","natal"
"??","Pseudopod","pseudo","pod"
"?????","Psychoanalyst","psycho","analyst"
"??","Pyuria","py","uria"
"?????","Retrovirus","retro","virus"
"????","Semiconscious","semi","conscious"
"???","Subcutaneous","sub","cutaneous"
"????","Superinfection","super","infection"
"???","Synergistic","syn","ergistic"
"????","Tachycardia","tachy","cardia"
"???","Thermometer","therm","ometer"
"??","Transplant","trans","plant"
"?????","Triglyceride","tri","glyceride"
"????","Unicellular","uni","cellular"
"????","Urobilinogen","uro","bilinogen"
"????","Lymphadenitis","aden","itis"
"????","Arteriosclerosis","arterio","sclerosis"
"???","Arthritis","arthr","itis"
"????","Bronchitis","bronch","itis"
"??","Myocardium","myo","cardium"
"??","Calcify","calc","ify"
"????","Carcinogen","carcin","ogen"
"????","Caudate cell","caudate","cell"
"??","Encephalitis","encephal","itis"
"???","Cholesterol","chol","esterol"
"???","Chromogen","chrom","ogen"
"???","Subcutaneous","cut","aneous"
"??","Cyanosis","cyan","osis"
"???","Monocyte","mono","cyte"
"???","Dermatitis","dermat","itis"
"???","Edematous","edema","tous"
"???","Erythrocyte","erythro","cyte"
"???","Febrile","febr","ile"
"??","Gastritis","gastr","itis"
"????","Genital","genit","al"
"???","Hematology","hemat","ology"
"??","Hepatitis","hepat","itis"
"???","Histology","hist","ology"
"???","Lipoma","lip","oma"
"???","Meningitis","mening","itis"
"???","Myeloma","myel","oma"
"??","Myositis","myo","sitis"
"??","Nephritis","nephr","itis"
"????","Neurectomy","neur","ectomy"
"???","Oncology","onc","ology"
"???","Pathogen","path","ogen"
"???","Photometer","phot","ometer"
"??","Pneumonia","pneum","onia"
"??","Pulmonary","pulm","onary"
"??","Renal","ren","al"
"???","Rhinovirus","rhin","ovirus"
"??","Sclerosis","scler","osis"
"????","Septic","sep","tic"
"????","Somatic","somat","ic"
"???","Toxicology","toxic","ology"
"?????","Thoracotomy","thorac","otomy"
"???","Intravascular","vas","cular"
"???","Intravenous","ven","ous"
"???","Neuralgia","neur","algia"
"????","Erythroblast","erythro","blast"
"??????","Amniocentesis","amnio","centesis"
"???","Bacteriocide","bacterio","cide"
"????","Gastrectomy","gastr","ectomy"
"??","Hematemesis","hemat","emesis"
"?????","Bilirubinemia","bilirubin","emia"
"???","Pyogenic","pyo","genic"
"???","Anuria","anur","ia"
"????","Amebiasis","ameb","iasis"
"???","Arteriole","arter","iole"
"???","Pharyngitis","pharyng","itis"
"??","Hemolysis","hemo","lysis"
"????","Blastoid","blast","oid"
"???","Pathology","path","ology"
"???","Hepatoma","hepat","oma"
"??????","Leukocytosis","leukocyt","osis"
"??","Phlebotomy","phleb","otomy"
"??","Adenopathy","aden","opathy"
"??????","Leukopenia","leuko","penia"
"????","Eosinophil","eosino","phil"
"???","Dermatophyte","dermato","phyte"
"??","Hyperplasia","hyper","plasia"
"??","Hemopoiesis","hemo","poiesis"
"??","Hemorrhage","hemo","rrhage"
"??","Diarrhea","dia","rrhea"
"???","Arthroscope","arthro","scope"
"??","Hemostasis","hemo","stasis"
"?????","Hypertrophy","hyper","trophy"
"???","Anuria","an","uria"
